"DEBATES: SOLIDARITY WITH UKRAINE - WITH EMMA GRAHAM-HARRISON, MINNIE RAHMAN, TOM BURGIS, UKRANIAN ACTIVIST, JOHN HARRIS",12:00 - 13:00
SATURDAY,
YARD ACT,21:00 - 22:00
BILLY NOMATES,19:30 - 20:30
KAM-BU,18:10 - 19:10
ASYLUMS,17:00 - 17:45
"RADICAL ROUND UP WITH BILLY BRAGG - SEB LOWE, TOM A. SMITH, JESS SILK",15:00 - 16:30
"DEBATES: WHAT'S NEXT FOR THE CLIMATE EMERGENCY WITH KAM-BU, HARPREET KAUR PAUL, STOP CAMBO, REBECCA NEWSOM, SCARLETT WESTBROOK",13:30 - 14:30
"DEBATES: STATE OF THE NATION: POLITICS IN CRISIS WITH ANDY BURNHAM, FRANCIS FOLEY, METE COBAN, SHAISTA AZIZ, JOHN HARRIS",12:00 - 13:00
SUNDAY,
YOLA,21:00 - 22:00
THE REGRETTES,19:15 - 20:15
THE MAGIC NUMBERS,18:00 - 18:45
LAS ADELITAS,17:00 - 17:30
"RADICAL ROUND UP WITH BILLY BRAGG - ROMEO STODART, YNES, TBA",15:00 - 16:30
"DEBATES: BLACK LIVES MATTER AND BEYOND WITH COP WATCH, DR. REMI JOSEPH-SALISBURY, SISTERS UNCUT, KILL THE BILL, NASRA AYUB, RENI EDDO-LODGE",13:30 - 14:30
"DEBATES: DEFYING THE COST OF LIVING CRISIS WITH ELLIE MAE O'HAGEN, JACK MONROE, KWAJO TWENEBOA, ZARAH SULTANA MP, RENI EDDO-LODGE",12:00 - 13:00
ARCADIA,
FRIDAY,
CARL COX B2B CHASE AND STATUS (JUNGLE SET),02:00 - 03:00
NINA KRAVIZ,01:00 - 02:00
TBA,23:00 - 01:00
JON HOPKINS (DJ),22:00 - 23:00
ISHMAEL ENSEMBLE (DJ),21:30 - 22:00
SATURDAY,
CAMELPHAT B2B PATRICK TOPPING,02:00 - 03:00
CALVIN HARRIS,01:00 - 02:00
FOUR TET,00:00 - 01:00
KURUPT FM,23:00 - 00:00
DJ EZ,22:00 - 23:00
NIA ARCHIVES,21:30 - 22:00
SUNDAY,
HOSPITALITY SHOWCASE: SPY B2B GRAFIX B2B UNGLUED FEAT CARASEL MC & SOLAH,01:30 - 02:30
SUB FOCUS B2B DIMENSION FEAT ID,00:30 - 01:30
DANIEL AVERY B2B VTSS,23:30 - 00:30
AFRODEUTSCHE,22:30 - 23:30
TSHA,21:30 - 22:30
SONIC,
FRIDAY,
PATRICK TOPPING B2B EATS EVERYTHING,23:00 - 00:30
FATBOY SLIM,21:00 - 23:00
ANZ,19:30 - 21:00
DENIS SULTA,18:00 - 19:30
TSHA,16:30 - 18:00
JAGUAR,15:00 - 16:30
ECLAIR FIFI,14:00 - 15:00
SARAH STORY,13:00 - 14:00
DAISY MOON,12:00 - 13:00
SATURDAY,
OVERMONO - LIVE,23:30 - 00:30
HAAI,22:00 - 23:00
ROMY,21:00 - 22:00
ROSS FROM FRIENDS - LIVE,20:00 - 21:00
LOGIC1000,18:15 - 19:45
ELKKA,16:45 - 18:15
SOFIA KOURTESIS - LIVE,15:30 - 16:30
KIARA SCURO,13:30 - 15:00
WAREHOUSE PRESERVATION SOCIETY,12:00 - 13:30
SUNDAY,
SASASAS,23:00 - 00:00
HYBRID MINDS W/ TEMPZA AND CHARLOTTE HAINING,22:00 - 23:00
"CRITICAL - KASRA, ENEI, HALOGENIX W/ JAKES AND CHARLI BRIX",20:00 - 22:00
PROBLEM CENTRAL,19:00 - 20:00
"HOSPITAL - METRIK, LENS, WHINEY, DEGS AND DYNAMITE",17:00 - 19:00
A.M.C FT PHANTOM,16:00 - 17:00
KOVEN,15:00 - 16:00
"RUN IN THE JUNGLE D*MINDS, DAZEE B2B EUPHONIQUE, CRITICAL IMPACT AND TRIGGA",13:00 - 15:00
NATTY LOU B2B AMA,12:00 - 13:00
WOW,
THURSDAY,
BATU,01:00 - 03:00
DANIELLE B2B HODGE,23:30 - 01:00
GIANT SWAN - LIVE,22:30 - 23:30
INDIA JORDAN,21:00 - 22:30
FANTASTIC MAN,19:30 - 21:00
ELLIE STOKES B2B CHEZ DE MILO,18:00 - 19:30
FRIDAY,
CRAIG RICHARDS,01:30 - 03:00
UNAI TROTTI,00:00 - 01:30
CALL SUPER B2B PARRIS,22:30 - 00:00
TBA,21:00 - 22:30
MANAMI B2B NIKS,19:30 - 21:00
DR BANANA X LUKAS WIGFLEX,18:00 - 19:30
"BUTTER SIDE UP : THE GHOST, SUGAR FREE, HAMISH + TOBY",12:00 - 18:00
SATURDAY,
AVALON EMERSON,01:30 - 03:00
OPTIMO (ESPACIO),23:30 - 01:00
DRESDEN (IVAN SMAGGHE & MANFREDAS),22:00 - 23:30
SCOTT FRASER,20:30 - 22:00
PALMS TRAX B2B JOB JOBSE,19:00 - 20:30
MOXIE B2B PEACH,12:00 - 19:00
SHANTI CELESTE B2B SAOIRSE,12:00 - 19:00
SUNDAY,
TBA,01:30 - 02:30
DARWIN,00:00 - 01:30
RE:NI,22:30 - 00:00
TWO SHELL,21:00 - 22:30
DAR DISKU,19:30 - 21:00
LEON VYNEHALL,18:00 - 19:30
20 YEARS OF SECRETSUNDAZE,12:00 - 18:00
CHAOS IN THE CBD,12:00 - 18:00
SECRETSUNDAZE,12:00 - 18:00
SHY ONE,12:00 - 18:00
LONELY HEARTS CLUB,
THURSDAY,
CHIPPY NONSTOP B2B PXSSY PALACE,01:00 - 03:00
YUNG SINGH B2B AHADADREAM,23:15 - 01:00
MANARA,21:45 - 23:15
PIRI AND TOMMY,21:15 - 21:45
NIA ARCHIVES B2B IZCO,20:00 - 21:00
SHERELLE,18:30 - 20:00
GROVE,18:00 - 18:30
FRIDAY,
GIRLS DONT SYNC,00:30 - 03:00
WILKINSON,23:30 - 00:30
HARRIET JAXXON,22:30 - 23:30
SHY FX,21:30 - 22:30
CHLOE SAGE,20:40 - 21:30
FRANKIE STEW & HARVEY GUNN,20:00 - 20:40
KOJEY RADICAL,18:40 - 19:40
POTTER PAYPER,17:30 - 18:10
MIRAA MAY,16:30 - 17:10
BR3NYA,15:45 - 16:15
SHASIMONE,15:00 - 15:30
CRAE WOLF,14:15 - 14:45
EMZ,13:30 - 14:00
KENNY ALLSTAR (HOST & DJ),13:00 - 13:30
SATURDAY,
ARTWORK PRES: MORE AMOUR,00:30 - 03:00
MURA MASA,23:15 - 00:15
SAD NIGHT DYNAMITE,22:00 - 22:45
BAD BOY CHILLER CREW,20:45 - 21:30
ARRDEE,19:45 - 20:30
HOPE TALA,18:50 - 19:30
BERWYN,17:40 - 18:20
LAVA LA RUE,16:30 - 17:10
LOLA YOUNG,15:30 - 16:00
WILLOW KAYNE,14:30 - 15:00
TIFFANY CALVER & FRIENDS,13:00 - 14:30
ALAMAY & OMAR CASSIUS,12:45 - 13:00
XYZELLE,12:30 - 12:45
WISHMASTER,12:15 - 12:30
BADLIANA,12:00 - 12:15
SUNDAY,
SONNY FODERA,01:15 - 02:30
GORGON CITY,00:00 - 01:15
GROOVE ARMADA (DJ SET),23:00 - 00:00
CRAZY P SOUNDSYSTEM,21:00 - 23:00
RIZ AHMED,20:00 - 21:00
GABRIELS,18:45 - 19:30
LAID BLAK,17:15 - 18:15
CHARLOTTE ADIGERY B2B BOLIS POPULI,16:00 - 16:45
MOONCHILD SANELLY,14:45 - 15:30
R.A.E,14:00 - 14:30
AMAHLA,13:00 - 13:30
FIRMLY ROOTED,
THURSDAY,
JAMZ SUPERNOVA,23:00 - 00:00
SAM INTERFACE,22:00 - 23:00
P-RALLEL,21:00 - 22:00
CONDUCTA,20:00 - 21:00
LIL C,19:00 - 20:00
ADEEVAH,18:00 - 19:00
FRIDAY,
LTJ BUKEM,23:00 - 00:00
WATCH THE RIDE (DJ SET),21:00 - 23:00
STORM,20:00 - 21:00
DJ FLIGHT,19:00 - 20:00
KYRIST,18:00 - 19:00
CHANNEL ONE,16:00 - 18:00
DUBKASM,15:00 - 16:00
BLISS ZION & SASHA STEPPA,13:00 - 15:00
SUPPLYA (FIRMLY ROOTED),12:00 - 13:00
SATURDAY,
CLIPZ,22:30 - 00:00
KRUST,21:00 - 22:30
TASHA,19:30 - 21:00
LCY,18:00 - 19:30
FACTA B2B K LONE,16:00 - 18:00
YUSHH,15:00 - 16:00
ANINA,13:30 - 15:00
IGLEW,12:00 - 13:30
SUNDAY,
V.I.V.E.K,23:00 - 00:00
HIJINX,22:00 - 23:00
SICARIA SOUND,21:00 - 22:00
PINCH,20:00 - 21:00
THINK TONK,19:00 - 20:00
HOLD TIGHT,18:00 - 19:00
LUKE UNA TAKEOVER,12:00 - 18:00
STONEBRIDGE BAR,
THURSDAY,
EATS EVERYTHING PRESENTS FONDA PUDDING B2B THE PINK PANTHER,01:30 - 03:00
SKREAM (GARAGE SET),00:00 - 01:30
HAAI,22:30 - 00:00
RANDALL,21:30 - 22:30
EWAN MCVICAR (ACID HOUSE SET),20:30 - 21:30
DJ FAT TONY,19:00 - 20:30
GREG WILSON,17:30 - 19:00
ARIELLE FREE,16:30 - 17:30
BAGGY MONDAYS,15:00 - 16:30
GIRLS DON'T SYNC,14:00 - 15:00
EATS EVERYTHING PRESENTS HISTORY OF RAVE,13:00 - 14:00
FRIDAY,
BEFORE SUNRISE HOSTED BY ANNIE MAC,23:00 - 05:00
KAMPIRE,21:30 - 23:00
AHADADREAM,20:00 - 21:30
COCO EM,18:30 - 20:00
BOKO! BOKO!,17:00 - 18:30
"SPORTS BANGER: MEGA RAVE THE RETURN W/ HARRIMANN, JAY CARDER, KLOSE ONE, TASHA, JONNY BANGER + GUESTS",14:30 - 17:00
CARL (THE SOCIAL),13:00 - 14:30
SATURDAY,
"SPECIAL REQUEST PRESENTS W/ ANZ, ECLAIR FIFI + KETTAMA",23:00 - 05:00
"PRETTY WEIRD W/ FLOATING POINTS, OR:LA, CHLOÉ ROBINSON B2B DJ ADHD",19:30 - 23:00
DAN SHAKE,18:00 - 19:30
2 BEARS B2B RAW SILK,16:00 - 18:00
LUKE UNA PRESENTS É SOUL CULTURA,13:00 - 16:00
FOUR TET: MORNING SIDE,11:00 - 13:00
SUNDAY,
TIM REAPER PRESENTS FUTURE RETRO W/ DWARDE + MANTRA,00:00 - 04:00
KRUST B2B DJ DIE,23:00 - 00:00
THIS IS INJA,22:00 - 23:00
LCY,21:00 - 22:00
MELLA DEE,19:00 - 21:00
DAJU W/ HELENA STAR B2B NIKS + MORE,17:00 - 19:00
FLYING MOJITO BROS,15:30 - 17:00
FLEETMAC WOOD,14:00 - 15:30
SOCIAL 23: CELEBRATING 23 COSMIC YEARS OF THE SOCIAL,13:00 - 14:00
THE RABBIT HOLE,
THURSDAY,
MR BRUCE,02:00 - 03:00
DJ THRILOGY,01:00 - 02:00
SUBTLE MACHINES,00:00 - 01:00
DJ MIKEY SNOOZE & DJ WORK EXPERIENCE,23:00 - 00:00
BAD BOY CHILLER CREW,22:00 - 23:00
DJ GREG WILSON,21:00 - 22:00
PURPLE RAVE WITH ROB DA BANK & TAYO,19:45 - 21:00
LEKIDDO - LORD OF THE LOBSTERS!,19:00 - 19:45
MURRAY LAUCHLAN YOUNG,18:30 - 19:00
OSCAR DUNBAR,17:30 - 18:30
DJ,17:00 - 17:30
JESSE DAYTON,16:00 - 17:00
DJ,15:30 - 16:00
LEWIS MCLAUGHLIN,15:00 - 15:30
DJ,14:30 - 15:00
SOFY,14:00 - 14:30
DJ,13:30 - 14:00
EVA SCOTT,13:00 - 13:30
FRIDAY,
A J LAMBERT,03:00 - 04:00
SPECIAL UN-BIRTHDAY SURPRISE DJ,01:45 - 03:00
SPECIAL UN-BIRTHDAY SURPRISE,01:00 - 01:45
TRANSGRESSIVE DJ'S,00:15 - 01:00
SPECIAL UN-BIRTHDAY SURPRISE,23:30 - 00:15
TRANSGRESSIVE DJ'S,22:00 - 23:30
ROSCO SHAKES,21:00 - 22:00
DJ,20:00 - 21:00
MIK ARTISTIK'S EGO TRIP,19:00 - 20:00
DJ CODA,18:00 - 19:00
BEANS ON TOAST,17:00 - 18:00
DJ GROOVE ALLEGIANCE,16:00 - 17:00
JESSE MALIN,15:00 - 16:00
DJ,14:30 - 15:00
LYZA,14:00 - 14:30
DJ,13:30 - 14:00
TALIESIN,13:00 - 13:30
SATURDAY,
THE EGG,03:00 - 04:00
DJ MAXXI SOUNDSYSTEM,02:00 - 03:00
BRASS FUNKEYS,01:00 - 02:00
DJ SPECIAL UN-BIRTHDAY SURPRISE,00:00 - 01:00
SHELF LIVES,23:00 - 00:00
DJ DERMOT O'LEARY,22:00 - 23:00
TBA,21:00 - 22:00
DJ ZERYA,19:45 - 21:00
SPECIAL UN-BIRTHDAY SURPRISE,19:00 - 19:45
DJ LILY BLUE & DJ NORTY MORTY,18:00 - 19:00
EMMANUEL JAL & NYARUACH,17:00 - 18:00
DJ,16:30 - 17:00
ACID KLAUSS,15:45 - 16:30
JACK TYSON CHARLES,15:00 - 15:45
INSTANCING,14:30 - 15:00
ROSIE SMITH,14:00 - 14:30
DJ,13:30 - 14:00
BEA,13:00 - 13:30
SUNDAY,
HARDWICKE CIRCUS,03:00 - 04:00
DJ POSHRATZ,02:00 - 03:00
GABO,01:00 - 02:00
DJ THE MAN FROM TIMBUKTU,00:00 - 01:00
PUMAROSA,23:00 - 00:00
DJ GEORGIE ROGERS,22:00 - 23:00
NICK MULVEY,21:00 - 22:00
DJ COUSCOUS,20:00 - 21:00
GLU,19:00 - 20:00
VICK VANKO'S WORTHY DJS,18:00 - 19:00
SINEAD O'BRIEN,17:00 - 18:00
VICK VANKO'S WORTHY DJS,16:15 - 17:00
MATTERS UNKNOWN,15:30 - 16:15
VICK VANKO'S WORTHY DJS,14:45 - 15:30
WOOM,14:00 - 14:45
VICK VANKO'S WORTHY DJS,13:30 - 14:00
HARMONY TUNBRIDGE,13:00 - 13:30
RABBIT HOLE'S FUNKINGHAM PALACE,
THURSDAY,
NICK WARREN,01:30 - 03:00
FOUR TET,00:00 - 01:30
GREG WILSON,22:30 - 00:00
FUNKINGHAM PALACE FOOTMEN,21:00 - 22:30
FRIDAY,
ARTWORK,03:00 - 04:00
ALGY STRUTT,02:00 - 03:00
GOURANGA CLAN,01:00 - 02:00
CRAZY P (DJ),00:00 - 01:00
FLYING MOJITO BROS,22:30 - 00:00
FUNKINGHAM PALACE FOOTMEN,21:00 - 22:30
SATURDAY,
ROCKY RACOONS,03:00 - 04:00
HUGO HEATHCOTE,02:00 - 03:00
ISAAC FERRY,01:00 - 02:00
CRAIG CHARLES,23:30 - 01:00
SHAKA LOVES YOU,22:30 - 23:30
FUNKINGHAM PALACE FOOTMEN,21:00 - 22:30
SUNDAY,
KING OF HEARTS,03:00 - 04:00
JOHN MONKMAN (LIVE),02:00 - 03:00
BEYOND THE STUTTOSPHERE,01:00 - 02:00
ASTRAL RIDERS,00:00 - 01:00
JOSH LUDLOW,23:00 - 00:00
CHANT LIVE - FEAT. GAUDI,22:00 - 23:00
FUNKINGHAM PALACE FOOTMEN,21:00 - 22:00
FREE UNIVERSITY OF GLASTONBURY,
FRIDAY,
SHAUN KEAVENY'S COMMUNITY GARDEN RADIO,13:00 - 15:00
COLDWAR STEVE WITH EMMA WARREN,11:30 - 12:30
SATURDAY,
JARVIS COCKER WITH WILL HODGKINSON,14:00 - 15:00
JESS PHILLIPS MP WITH JOHN ROBB,12:45 - 13:45
PETE PAPHIDES WITH EMMA WARREN,11:30 - 12:30
SUNDAY,
DR JANINA RAMIREZ,14:00 - 15:00
PROF ALICE ROBERTS,13:00 - 14:00
LUCY COOKE,12:00 - 13:00
GLADE,
THURSDAY,
CAMELPHAT,00:25 - 02:25
FRANKY WAH,23:00 - 00:15
SASHA,21:20 - 22:50
MARSHALL JEFFERSON,19:40 - 21:10
SYSTEM 7,18:00 - 19:30
FRIDAY,
JOHN DIGWEED,00:40 - 02:55
GONG,23:00 - 00:30
ANNIE MAC,21:15 - 22:30
EVA LAZARUS,20:05 - 21:05
DUB PISTOLS,18:35 - 19:45
DADDY G B2B NICK WARREN,16:35 - 18:05
EFÉ,15:35 - 16:20
THE UTOPIA STRONG,14:00 - 15:15
SATURDAY,
RICHARD FEARLESS,01:50 - 02:55
ENGLISH DISCO LOVERS,00:50 - 01:50
ANDY C,23:10 - 00:40
NIA ARCHIVES,22:00 - 23:00
GENTLEMAN'S DUB CLUB,20:50 - 21:50
DON LETTS,20:30 - 20:50
"GARDNA & FRIENDS FT DRS, CATCHING CAIRO, DON LETTS, JEM COOKE",19:30 - 20:30
HOLLIE COOK,18:30 - 19:30
DON LETTS,18:00 - 18:30
CARL COX & ERIC POWELL'S MOBILE DISCO FT INCOGNITO,14:00 - 18:00
TONY ANDREWS ECLECTIC GROOVE,13:00 - 14:00
SUNDAY,
TBA,00:10 - 01:30
RUDIMENTAL SOUND SYSTEM,22:45 - 00:00
GOK WAN,21:15 - 22:35
CUT CAPERS,20:00 - 21:00
EMMANUEL JAL & NYARUACH,18:30 - 19:30
MAD PROFESSOR DUBS UP LEE SCRATCH PERRY,16:30 - 18:00
MARIA CHIARA ARGIRÒ,15:10 - 16:10
CASSETTEBOY VS DJ RUBBISH,14:00 - 14:50
GLADE DOME,
THURSDAY,
DANNY HOWARD,01:25 - 02:55
STANTON WARRIORS,00:10 - 01:25
BARRY ASHWORTH,23:00 - 00:10
RIDING THE LOW,21:40 - 22:40
THE WHITE LAMP,20:10 - 21:10
JUST A COUPLE OF MUMS,19:00 - 20:00
HIPPO SOUND SYSTEM,15:25 - 18:50
MELLOWMATIC,14:10 - 15:10
MIXMASTER MORRIS,12:00 - 14:00
FRIDAY,
DON LETTS,01:50 - 02:50
FERAL IS KINKY,00:50 - 01:50
TIMBALI & PEPPERY,23:30 - 00:50
JFB,22:30 - 23:30
WILL WHITE,21:30 - 22:30
MR BRUCE,20:20 - 21:20
JACK TYSON CHARLES,19:10 - 20:10
GUY.IN.GLASSES.,17:20 - 18:40
KIKO BUN,16:30 - 17:20
MINOR CONFLICT,15:30 - 16:20
JUST A COUPLE OF MUMS,14:10 - 15:10
MR PINKS & HARRI PEPPER,12:00 - 13:45
SATURDAY,
STEVE DAVIS & KAVUS TORABI,01:30 - 02:55
KLAUS BLATTER,00:30 - 01:30
CHRISTOPHER COE,23:00 - 00:30
THE EGG,21:15 - 22:45
JUST A COUPLE OF MUMS,19:45 - 20:45
MIK ARTISTIK’S EGO TRIP,18:30 - 19:30
CARLY WILFORD,17:00 - 18:00
TIFFANY PISANI,16:00 - 17:00
LILY BLUE,15:00 - 16:00
SMOKESCREEN,12:00 - 15:00
SUNDAY,
TRISTAN,00:30 - 02:00
REGAN,23:15 - 00:30
ANS,22:00 - 23:15
DJ SHANE (CIRCUS WARP),21:00 - 22:00
MELLOWMATIC,19:45 - 20:45
GRAFIX & RUTH ROYALL,18:15 - 19:15
"THE JUNGLE SESSION: PROPHECY, NORTH BASE & MARK XTC",14:30 - 18:10
GUY. IN. GLASSES.,13:15 - 14:30
MIXMASTER MORRIS,12:00 - 13:15
IICON,
THURSDAY,
LEEON,00:40 - 03:00
IICON:AV-3D,00:25 - 00:40
HERCULES & LOVE AFFAIR (REDUX),23:30 - 00:25
DEENA ABDELWAHED,21:25 - 23:25
ADAM SHELTON,20:00 - 21:25
FRIDAY,
FREAKENSTEIN,04:30 - 06:00
LSDXOXO,02:30 - 04:30
OVERMONO (LIVE),01:30 - 02:30
IICON:AV-3D,01:15 - 01:30
